,age_A,age_B,height_A,height_B,reach_A,reach_B,stance_A,stance_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,won%_A,won%_B,KO%_A,KO%_B,Specific_Method,Height_Diff,Reach_Diff
0,35.0,27.0,179.0,175.0,178.0,179.0,orthodox,orthodox,160.0,160.0,37,49,0,1,0,1,33,34.0,100.0,96.07843137254902,89.1891891891892,66.66666666666666,DRAW,4.0,-1.0
1,26.0,31.0,175.0,185.0,179.0,185.0,orthodox,orthodox,164.0,164.0,48,50,1,2,1,1,34,32.0,96.0,94.33962264150944,68.0,60.37735849056604,A_Decision,-10.0,-6.0
3,25.0,29.0,175.0,174.0,179.0,180.0,orthodox,orthodox,155.0,155.0,46,31,1,3,1,0,32,19.0,95.83333333333334,91.17647058823529,66.66666666666666,55.88235294117647,A_Stoppage,1.0,-1.0
6,23.0,31.0,175.0,175.0,179.0,188.0,orthodox,orthodox,155.0,155.0,43,19,1,1,1,2,31,12.0,95.55555555555556,86.36363636363636,68.88888888888889,54.54545454545454,A_Decision,0.0,-9.0
10,22.0,28.0,175.0,177.0,179.0,175.0,orthodox,orthodox,154.0,153.0,40,30,0,4,1,0,29,18.0,97.5609756097561,88.23529411764706,70.73170731707317,52.94117647058824,A_Stoppage,-2.0,4.0
11,21.0,40.0,175.0,174.0,179.0,180.0,orthodox,orthodox,154.0,154.0,39,46,0,7,1,1,29,39.0,97.5,85.18518518518519,72.5,72.22222222222221,A_Decision,1.0,-1.0
12,21.0,32.0,175.0,180.0,179.0,188.0,orthodox,orthodox,154.0,154.0,38,33,0,4,1,1,28,28.0,97.43589743589743,86.8421052631579,71.7948717948718,73.68421052631578,A_Stoppage,-5.0,-9.0
19,19.0,32.0,175.0,167.0,179.0,173.0,orthodox,orthodox,150.0,149.0,31,31,0,1,1,1,23,23.0,96.875,93.93939393939394,71.875,69.6969696969697,A_Stoppage,8.0,6.0
25,18.0,26.0,175.0,180.0,179.0,188.0,orthodox,orthodox,147.0,147.0,25,23,0,2,1,0,18,21.0,96.15384615384616,92.0,69.23076923076923,84.0,A_Stoppage,-5.0,-9.0
28,18.0,28.0,175.0,173.0,179.0,183.0,orthodox,orthodox,147.0,147.0,22,16,0,1,1,0,15,15.0,95.65217391304348,94.11764705882352,65.21739130434783,88.23529411764706,A_Stoppage,2.0,-4.0
